TITLE,LINK,BYLINE,FIRST_PARAGRAPH
"Firearm enthusiasts in Aylmer, Ont., question Liberals' aim on gun safety",https://www.cbc.ca/lite/story/1.7502268,"Andrew Lupton | CBC News | Posted: April 4, 2025 8:58 PM | Last Updated: April 7",Gun club president said restrictions could choke off interest in target shooting
"B.C. ostrich farmers must leave by Tuesday or face arrest, RCMP officer says",https://www.cbc.ca/lite/story/1.7641134,"New Brenna Owen | The Canadian Press | Posted: September 23, 2025 6:22 PM | Last Updated: Just now",Food inspection agency set to carry out cull order issued after avian flu detected in herd
Ostrich farm behind police tape as CFIA prepares for cull,https://www.cbc.ca/lite/story/1.7640098,"Liam Britten | CBC News | Posted: September 22, 2025 4:13 PM | Last Updated: 19 hours ago","Farm has lost multiple court bids to save its 400 ostriches, who were ordered culled over their avian flu risk"
New analysis indicates higher lethality of avian flu at B.C. ostrich farm: CFIA vet,https://www.cbc.ca/lite/story/1.7630656,"Brenna Owen | The Canadian Press | Posted: September 10, 2025 11:11 PM | Last Updated: September 10",Universal Ostrich has been fighting a cull order imposed by federal authorities in court
B.C. ostrich farm loses appeal to save birds from cull in case that attracted White House attention,https://www.cbc.ca/lite/story/1.7615212,"Andrew Kurjata | CBC News | Posted: August 21, 2025 10:28 PM | Last Updated: August 22",Universal Ostrich has been fighting order to kill birds since January
Judge refuses to allow more avian flu tests on ostriches at B.C. farm,https://www.cbc.ca/lite/story/1.7568734,N/A,Friday ruling also grants a temporary stay of the ordered cull of about 400 birds
How the fate of a herd of ostriches on a small B.C. farm caught the attention of the Trump administration,https://www.cbc.ca/lite/story/1.7548634,"IN DEPTH Andrew Kurjata | CBC News | Posted: June 1, 2025 11:00 AM | Last Updated: August 21","From cull order to convoy to Kennedy Jr., Universal Ostrich farm refuses to give up its birds"
"The new, steep price for this U.S. visa could be a blessing for Canadian tech",https://www.cbc.ca/lite/story/1.7640068,"Jenna Benchetrit | CBC News | Posted: September 23, 2025 8:00 AM | Last Updated: 11 hours ago","'Every time the U.S. closes the door on global talent, Canada gains,' says lawyer"
White House scrambles to clarify Trump plan to add $100K fee to visas for highly skilled workers,https://www.cbc.ca/lite/story/1.7639454,N/A,India denounces U.S. president's proclamation to add hefty fee for H-1B visa
Israel to close West Bank crossing to Jordan indefinitely starting Wednesday,https://www.cbc.ca/lite/story/1.7641061,N/A,"New UN report says Israel seeking Jewish majority in West Bank, permanent control over Gaza"
Mother searches for answers after public health says unsterile needles were used at Ontario clinic,https://www.cbc.ca/lite/story/1.7640967,"Hannah Alberga | The Canadian Press | Posted: September 23, 2025 3:36 PM | Last Updated: 3 hours ago","Public health officials say a Burlington, Ont., clinic used unsterile needles for more than six years"
Would you pay $100 for a movie? Criterion and the 'second golden age' of physical media,https://www.cbc.ca/lite/story/1.7640779,"Jackson Weaver | CBC News | Posted: September 23, 2025 8:00 AM | Last Updated: 4 hours ago",Boutique label is at the forefront of a resurgent market for DVDs and other old formats
'How in the world could this happen to children?' Former residential school in Ontario to open as museum,https://www.cbc.ca/lite/story/1.7640390,"Aura Carreño Rosas | CBC News | Posted: September 23, 2025 2:50 PM | Last Updated: 3 hours ago","‘I want them to see what it's like,’ says residential school survivor"
"A GTA school board banned Every Child Matters flags. Now, some families are speaking out",https://www.cbc.ca/lite/story/1.7639943,"Sarah MacMillan | CBC News | Posted: September 23, 2025 9:00 AM | Last Updated: 5 hours ago",Wide-reaching flag ban at Dufferin-Peel Catholic schools will affect Truth and Reconciliation observances
How ex-PWHLer Erica Howe's hockey experience helped her battle breast cancer,https://www.cbc.ca/lite/story/1.7636917,"Myles Dichter | for CBC Sports | Posted: September 23, 2025 8:00 AM | Last Updated: 3 hours ago",Former goalie has completed active treatment but remains on suppressants
Egyptian British activist Alaa Abd el-Fattah released after presidential pardon,https://www.cbc.ca/lite/story/1.7640905,N/A,"Lengthy imprisonment, repeated hunger strikes prompted widespread international pleas for his release"
B.C.'s 'most urbanized rural community' fights to become its own municipality,https://www.cbc.ca/lite/story/1.7638663,"Maryse Zeidler | CBC News | Posted: September 23, 2025 12:00 PM | Last Updated: 7 hours ago",Parksville and Qualicum Beach say no to annexing French Creek
